,title,price,link
0,"Lenovo IdeaPad 3 12th Gen Intel Core i3-1215U 14 Inch (35.5cm) FHD Thin & Light Laptop (8GB/512GB SSD/Win 11/Office 2021/Backlit KB/1Yr ADP Free/3months Game Pass/Arctic Grey/1.43Kg), 82RJ00FKIN  ","32,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MTMzMTk2OTM0NjM1MDg6MTczMDU3MjEwODpzcF9hdGY6MzAwMjg2MjIxNzA2NTMyOjowOjo&url=%2FLenovo-IdeaPad-i3-1215U-Backlit-82RJ00FKIN%2Fdp%2FB0DB1WCBBS%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2U44J85V9C94J%26dib%3DeyJ2IjoiMSJ9.BBnT97cykFY8SfEP2_0aDht_84_2ynzfzPKQBHaIs2hAuesqLycyGK3mm_cAUh0dH_P0vCMPqX8fS8Xde0W9WM1jx6_yyA7qmfVIDi1OXPW7HQn0VA9BfPFFkM00s4wAfj-m5uJVpPuQoQ80f20He-e89jHnXRvWt5UMsXszzbSndTxoUCRVgTu1S4nfSJi2q_Yjc0b9oEA09jKrYe2ouvvcglkPRRSxeEUy37fSHS8.U-9GtigkIhuNFpZwjzOfpRqJmwSNVW8eqvY8kWVsrzM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730572108%26sprefix%3Dlep%252Caps%252C757%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","36,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MTMzMTk2OTM0NjM1MDg6MTczMDU3MjEwODpzcF9hdGY6MzAwMTA0NjAzNDk3NDMyOjowOjo&url=%2FLenovo-IdeaPad-Laptop-Windows-82R400ERIN%2Fdp%2FB0CP2KRYLM%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2U44J85V9C94J%26dib%3DeyJ2IjoiMSJ9.BBnT97cykFY8SfEP2_0aDht_84_2ynzfzPKQBHaIs2hAuesqLycyGK3mm_cAUh0dH_P0vCMPqX8fS8Xde0W9WM1jx6_yyA7qmfVIDi1OXPW7HQn0VA9BfPFFkM00s4wAfj-m5uJVpPuQoQ80f20He-e89jHnXRvWt5UMsXszzbSndTxoUCRVgTu1S4nfSJi2q_Yjc0b9oEA09jKrYe2ouvvcglkPRRSxeEUy37fSHS8.U-9GtigkIhuNFpZwjzOfpRqJmwSNVW8eqvY8kWVsrzM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730572108%26sprefix%3Dlep%252Caps%252C757%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Lenovo [Smart Choice Ideapad Gaming 3 Laptop AMD Ryzen 5 5500H 15.6"" (39.62Cm) Fhd IPS 300Nits 144Hz (8Gb/512Gb Ssd/Win11/Nvidia RTX 2050 4Gb/Alexa/3 Month Game Pass/Shadow Black/2.32Kg),82K20289In  ","45,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MTMzMTk2OTM0NjM1MDg6MTczMDU3MjEwODpzcF9tdGY6MzAwMTI5OTQwODM0NTMyOjowOjo&url=%2FLenovo-IdeaPad-39-62cm-300nits-82K20289IN%2Fdp%2FB0CL5L59Z9%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2U44J85V9C94J%26dib%3DeyJ2IjoiMSJ9.BBnT97cykFY8SfEP2_0aDht_84_2ynzfzPKQBHaIs2hAuesqLycyGK3mm_cAUh0dH_P0vCMPqX8fS8Xde0W9WM1jx6_yyA7qmfVIDi1OXPW7HQn0VA9BfPFFkM00s4wAfj-m5uJVpPuQoQ80f20He-e89jHnXRvWt5UMsXszzbSndTxoUCRVgTu1S4nfSJi2q_Yjc0b9oEA09jKrYe2ouvvcglkPRRSxeEUy37fSHS8.U-9GtigkIhuNFpZwjzOfpRqJmwSNVW8eqvY8kWVsrzM%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730572108%26sprefix%3Dlep%252Caps%252C757%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
3,"HP 15 Ryzen 3 7320U (8GB RAM/512GB SSD/FHD/15.6"" (39.6 cm)/Backlit Keyboard/Windows 11/MS Office 21/1.59kg/Silver) fc0026AU Laptop  ","31,500",https://amazon.in//HP-15-6-inch-Graphics-Privacy-fc0026AU/dp/B0C3RCR4K7/ref=sr_1_77?crid=2U44J85V9C94J&dib=eyJ2IjoiMSJ9.WH4tKwIorZYBdIK2_GePL6tyflx_b69ga5_d7ffDR217UUgr1bxC--fweqtKIPTHVHv2R7ZMrH--KYJjMnoxlQH3JGv0Z9OpLySmLHQIvCdnMAXVJlvs0EPVciT57kNcS2Lng1BNsTKOtrau9ATQXgAa5SOLUDSTd3iSbUBjwNywr84m2IZB2REgP5R7OBccgdR7kVbwpOizqopcOWqFF-A_Hd03M9XOjyBNhfq65zY.YnRGyDcQcLjae3qhABtDiOkK8_MJEKuV5a-JfNJSwLg&dib_tag=se&keywords=laptop&qid=1730572174&sprefix=lep%2Caps%2C757&sr=8-77
4,"Lenovo V14 G3 (2024), Intel Core i3 12th Gen 1215U - (8GB/512GB SSD/Intel Integrated UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office 2021  ","30,680",https://amazon.in//Lenovo-V14-G3-Intel-1215U/dp/B0DGKZPWV5/ref=sr_1_78?crid=2U44J85V9C94J&dib=eyJ2IjoiMSJ9.WH4tKwIorZYBdIK2_GePL6tyflx_b69ga5_d7ffDR217UUgr1bxC--fweqtKIPTHVHv2R7ZMrH--KYJjMnoxlQH3JGv0Z9OpLySmLHQIvCdnMAXVJlvs0EPVciT57kNcS2Lng1BNsTKOtrau9ATQXgAa5SOLUDSTd3iSbUBjwNywr84m2IZB2REgP5R7OBccgdR7kVbwpOizqopcOWqFF-A_Hd03M9XOjyBNhfq65zY.YnRGyDcQcLjae3qhABtDiOkK8_MJEKuV5a-JfNJSwLg&dib_tag=se&keywords=laptop&qid=1730572174&sprefix=lep%2Caps%2C757&sr=8-78
5,"HP OMEN Gaming Laptop, AMD Ryzen 9 7940HS AI-Powered, 8GB RTX 4070 GPU, 16.1-inch (40.9 cm), FHD, IPS, 165Hz, 300 nits, 16GB DDR5, 1TB SSD, RGB Backlit KB, B&O (Black, 2.38 kg), xf0100AX  ","1,58,990",https://amazon.in//HP-AI-Powered-16-1-inch-Backlit-xf0100AX/dp/B0D1BT9SXF/ref=sr_1_79?crid=2U44J85V9C94J&dib=eyJ2IjoiMSJ9.WH4tKwIorZYBdIK2_GePL6tyflx_b69ga5_d7ffDR217UUgr1bxC--fweqtKIPTHVHv2R7ZMrH--KYJjMnoxlQH3JGv0Z9OpLySmLHQIvCdnMAXVJlvs0EPVciT57kNcS2Lng1BNsTKOtrau9ATQXgAa5SOLUDSTd3iSbUBjwNywr84m2IZB2REgP5R7OBccgdR7kVbwpOizqopcOWqFF-A_Hd03M9XOjyBNhfq65zY.YnRGyDcQcLjae3qhABtDiOkK8_MJEKuV5a-JfNJSwLg&dib_tag=se&keywords=laptop&qid=1730572174&sprefix=lep%2Caps%2C757&sr=8-79
6,"Acer Aspire 3 Intel Core i3-1215U Processor Laptop with 35.56 cm (14"") Full HD LED-Backlit IPS Display (16 GB RAM/512 GB SSD/Wifi 6/Intel Graphics/Win11 Home/65W) A324-51, Steel Gray, 1.45KG  ","29,980",https://amazon.in//Acer-i3-1215U-Processor-LED-Backlit-A324-51/dp/B0D817WFC8/ref=sr_1_80?crid=2U44J85V9C94J&dib=eyJ2IjoiMSJ9.WH4tKwIorZYBdIK2_GePL6tyflx_b69ga5_d7ffDR217UUgr1bxC--fweqtKIPTHVHv2R7ZMrH--KYJjMnoxlQH3JGv0Z9OpLySmLHQIvCdnMAXVJlvs0EPVciT57kNcS2Lng1BNsTKOtrau9ATQXgAa5SOLUDSTd3iSbUBjwNywr84m2IZB2REgP5R7OBccgdR7kVbwpOizqopcOWqFF-A_Hd03M9XOjyBNhfq65zY.YnRGyDcQcLjae3qhABtDiOkK8_MJEKuV5a-JfNJSwLg&dib_tag=se&keywords=laptop&qid=1730572174&sprefix=lep%2Caps%2C757&sr=8-80
7,"Acer Aspire 3 Intel Core i3-1215U Processor Laptop with 35.56 cm (14"") Full HD LED-Backlit IPS Display (8 GB RAM/512 GB SSD/Wifi 6/Intel Graphics/Win11 Home/65W) A324-51, Steel Gray, 1.45KG  ","26,990",https://amazon.in//Acer-i3-1215U-Processor-LED-Backlit-A324-51/dp/B0D817J16G/ref=sr_1_81?crid=2U44J85V9C94J&dib=eyJ2IjoiMSJ9.WH4tKwIorZYBdIK2_GePL6tyflx_b69ga5_d7ffDR217UUgr1bxC--fweqtKIPTHVHv2R7ZMrH--KYJjMnoxlQH3JGv0Z9OpLySmLHQIvCdnMAXVJlvs0EPVciT57kNcS2Lng1BNsTKOtrau9ATQXgAa5SOLUDSTd3iSbUBjwNywr84m2IZB2REgP5R7OBccgdR7kVbwpOizqopcOWqFF-A_Hd03M9XOjyBNhfq65zY.YnRGyDcQcLjae3qhABtDiOkK8_MJEKuV5a-JfNJSwLg&dib_tag=se&keywords=laptop&qid=1730572174&sprefix=lep%2Caps%2C757&sr=8-81
8,"ASUS VivoBook 15 (2022), Intel®Core™ i3-1215U 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB/512 SSD//Windows 11/Office 2021/Backlit KB/Quiet Blue/1.7 kg), X1504ZA-NJ325WS  ","31,990",https://amazon.in//ASUS-VivoBook-Intel%C2%AECoreTM-i3-1215U-X1504ZA-NJ325WS/dp/B0CD47SZ5R/ref=sr_1_82?crid=2U44J85V9C94J&dib=eyJ2IjoiMSJ9.WH4tKwIorZYBdIK2_GePL6tyflx_b69ga5_d7ffDR217UUgr1bxC--fweqtKIPTHVHv2R7ZMrH--KYJjMnoxlQH3JGv0Z9OpLySmLHQIvCdnMAXVJlvs0EPVciT57kNcS2Lng1BNsTKOtrau9ATQXgAa5SOLUDSTd3iSbUBjwNywr84m2IZB2REgP5R7OBccgdR7kVbwpOizqopcOWqFF-A_Hd03M9XOjyBNhfq65zY.YnRGyDcQcLjae3qhABtDiOkK8_MJEKuV5a-JfNJSwLg&dib_tag=se&keywords=laptop&qid=1730572174&sprefix=lep%2Caps%2C757&sr=8-82
9,"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/DOS/Iron Grey/1.65 Kg)  ","38,999",https://amazon.in//Lenovo-Ryzen-39-62cm-Antiglare-Laptop/dp/B0D39BVJ7Y/ref=sr_1_83?crid=2U44J85V9C94J&dib=eyJ2IjoiMSJ9.WH4tKwIorZYBdIK2_GePL6tyflx_b69ga5_d7ffDR217UUgr1bxC--fweqtKIPTHVHv2R7ZMrH--KYJjMnoxlQH3JGv0Z9OpLySmLHQIvCdnMAXVJlvs0EPVciT57kNcS2Lng1BNsTKOtrau9ATQXgAa5SOLUDSTd3iSbUBjwNywr84m2IZB2REgP5R7OBccgdR7kVbwpOizqopcOWqFF-A_Hd03M9XOjyBNhfq65zY.YnRGyDcQcLjae3qhABtDiOkK8_MJEKuV5a-JfNJSwLg&dib_tag=se&keywords=laptop&qid=1730572174&sprefix=lep%2Caps%2C757&sr=8-83
